"PCT","total","FRISKED","PISTOL","FREQ","PERCENTAGE","normalisedFreq"
"160","61  ",6681,"Y","N",2815,0.530440501157924,0.421344110163149
"161","62  ",4462,"N","N",2340,0.440934555136605,0.524428507395787
"162","62  ",4462,"Y","N",2119,0.39929073604037,0.474899148363962
"163","62  ",4462,"Y","Y",3,0.000565300711713596,0.000672344240251008
"164","63  ",3651,"N","N",1171,0.220655711138874,0.320734045466995
"165","63  ",3651,"Y","N",2473,0.465996220022574,0.677348671596823
"166","63  ",3651,"Y","Y",7,0.00131903499399839,0.00191728293618187
"167","66  ",3420,"N","N",1451,0.273417110898809,0.424269005847953
"168","66  ",3420,"Y","N",1968,0.370837266884119,0.575438596491228
"169","66  ",3420,"Y","Y",1,0.000188433570571199,0.000292397660818713
"170","67  ",10783,"N","N",4550,0.857372746098954,0.421960493369192
"171","67  ",10783,"Y","N",6218,1.17167994181171,0.576648428081239
"172","67  ",10783,"Y","Y",15,0.00282650355856798,0.00139107854956877
"173","68  ",2548,"N","N",1562,0.294333237232212,0.613029827315542
"174","68  ",2548,"Y","N",986,0.185795500583202,0.386970172684458
"175","69  ",5357,"N","N",2872,0.541181214680483,0.536120963225686
"176","69  ",5357,"Y","N",2484,0.468068989298858,0.463692365129737
"177","69  ",5357,"Y","Y",1,0.000188433570571199,0.000186671644577189
"178","7   ",3483,"N","N",1209,0.227816186820579,0.347114556416882
"179","7   ",3483,"Y","N",2273,0.428309505908335,0.652598334768877
"180","7   ",3483,"Y","Y",1,0.000188433570571199,0.000287108814240597
"181","70  ",11124,"N","N",4563,0.85982238251638,0.410194174757282
"182","70  ",11124,"Y","N",6559,1.23593578937649,0.589626033800791
"183","70  ",11124,"Y","Y",2,0.000376867141142397,0.000179791441927364
"184","71  ",4658,"N","N",2260,0.425859869490909,0.485186775440103
"185","71  ",4658,"N","Y",5,0.000942167852855993,0.00107342206955775
"186","71  ",4658,"Y","N",2383,0.449037198671166,0.511592958351224
"187","71  ",4658,"Y","Y",10,0.00188433570571199,0.0021468441391155
"188","72  ",5139,"N","N",2393,0.450921534376878,0.465654796653045
"189","72  ",5139,"Y","N",2739,0.516119549794513,0.532983070636311
"190","72  ",5139,"Y","Y",7,0.00131903499399839,0.00136213271064409
"191","73  ",21901,"N","N",12021,2.26515995183638,0.548879046618876
"192","73  ",21901,"N","Y",1,0.000188433570571199,4.56600155244053e-05
"193","73  ",21901,"Y","N",9854,1.85682440440859,0.44993379297749
"194","73  ",21901,"Y","Y",25,0.00471083926427997,0.00114150038811013
"195","75  ",24306,"N","N",11890,2.24047515409155,0.489179626429688
"196","75  ",24306,"N","Y",2,0.000376867141142397,8.22842096601662e-05
"197","75  ",24306,"Y","N",12385,2.3337497715243,0.509544968320579
"198","75  ",24306,"Y","Y",29,0.00546457354656476,0.00119312104007241
"199","76  ",4476,"N","N",2607,0.491246318479115,0.582439678284182
"200","76  ",4476,"N","Y",1,0.000188433570571199,0.000223413762287757
"201","76  ",4476,"Y","N",1860,0.35048644126243,0.415549597855228
"202","76  ",4476,"Y","Y",8,0.00150746856456959,0.00178731009830206
"203","77  ",9903,"N","N",4615,0.869620928186082,0.466020397859235
"204","77  ",9903,"N","Y",1,0.000188433570571199,0.000100979501161264
"205","77  ",9903,"Y","N",5266,0.992291182627932,0.531758053115218
"206","77  ",9903,"Y","Y",21,0.00395710498199517,0.00212056952438655
"207","78  ",3274,"N","N",2069,0.38986905751181,0.631948686621869
"208","78  ",3274,"Y","N",1205,0.227062452538294,0.368051313378131
"209","79  ",15179,"N","N",6845,1.28982779055985,0.450951973120759
"210","79  ",15179,"N","Y",1,0.000188433570571199,6.5880492786086e-05
"211","79  ",15179,"Y","N",8312,1.5662598385878,0.547598656037947
"212","79  ",15179,"Y","Y",21,0.00395710498199517,0.00138349034850781
"213","81  ",9635,"N","N",3643,0.686463497590877,0.378100674623768
"214","81  ",9635,"Y","N",5963,1.12362938131606,0.6188894654904
"215","81  ",9635,"Y","Y",29,0.00546457354656476,0.0030098598858329
"216","83  ",11795,"N","N",4432,0.835137584771553,0.375752437473506
"217","83  ",11795,"N","Y",3,0.000565300711713596,0.000254345061466723
"218","83  ",11795,"Y","N",7342,1.38347927513374,0.622467147096227
"219","83  ",11795,"Y","Y",18,0.00339180427028158,0.00152607036880034
"220","84  ",3807,"N","N",2268,0.427367338055479,0.595744680851064
"221","84  ",3807,"Y","N",1539,0.289999265109075,0.404255319148936
"222","88  ",5921,"N","N",2910,0.548341690362188,0.491471035298092
"223","88  ",5921,"Y","N",3010,0.567185047419308,0.508360074311772
"224","88  ",5921,"Y","Y",1,0.000188433570571199,0.000168890390136801
"225","9   ",5221,"N","N",2597,0.489361982773403,0.497414288450488
"226","9   ",5221,"Y","N",2621,0.493884388467112,0.502011108982953
"227","9   ",5221,"Y","Y",3,0.000565300711713596,0.000574602566558131
"228","90  ",9831,"N","N",5289,0.99662515475107,0.537992065913946
"229","90  ",9831,"Y","N",4523,0.852285039693532,0.460075272098464
"230","90  ",9831,"Y","Y",19,0.00358023784085278,0.00193266198759028
"231","94  ",2089,"N","N",1138,0.214437403310024,0.544758257539493
"232","94  ",2089,"Y","N",951,0.17920032561321,0.455241742460507
