"PCT","total","FRISKED","OTHRWEAP","FREQ","PERCENTAGE","normalisedFreq"
"189","61  ",6681,"Y","Y",10,0.00188433570571199,0.00149678191887442
"190","62  ",4462,"N","N",2338,0.440557687995463,0.523980277902286
"191","62  ",4462,"N","Y",2,0.000376867141142397,0.000448229493500672
"192","62  ",4462,"Y","N",2114,0.398348568187514,0.473778574630211
"193","62  ",4462,"Y","Y",8,0.00150746856456959,0.00179291797400269
"194","63  ",3651,"N","N",1170,0.220467277568302,0.320460147904684
"195","63  ",3651,"N","Y",1,0.000188433570571199,0.000273897562311695
"196","63  ",3651,"Y","N",2470,0.465430919310861,0.676526978909888
"197","63  ",3651,"Y","Y",10,0.00188433570571199,0.00273897562311695
"198","66  ",3420,"N","N",1449,0.273040243757667,0.423684210526316
"199","66  ",3420,"N","Y",2,0.000376867141142397,0.000584795321637427
"200","66  ",3420,"Y","N",1953,0.368010763325551,0.571052631578947
"201","66  ",3420,"Y","Y",16,0.00301493712913918,0.00467836257309942
"202","67  ",10783,"N","N",4545,0.856430578246098,0.421496800519336
"203","67  ",10783,"N","Y",5,0.000942167852855993,0.000463692849856255
"204","67  ",10783,"Y","N",6206,1.16941873896486,0.575535565241584
"205","67  ",10783,"Y","Y",27,0.00508770640542236,0.00250394138922378
"206","68  ",2548,"N","N",1562,0.294333237232212,0.613029827315542
"207","68  ",2548,"Y","N",983,0.185230199871488,0.385792778649922
"208","68  ",2548,"Y","Y",3,0.000565300711713596,0.00117739403453689
"209","69  ",5357,"N","N",2872,0.541181214680483,0.536120963225686
"210","69  ",5357,"Y","N",2477,0.466749954304859,0.462385663617696
"211","69  ",5357,"Y","Y",8,0.00150746856456959,0.00149337315661751
"212","7   ",3483,"N","N",1208,0.227627753250008,0.346827447602641
"213","7   ",3483,"N","Y",1,0.000188433570571199,0.000287108814240597
"214","7   ",3483,"Y","N",2260,0.425859869490909,0.64886592018375
"215","7   ",3483,"Y","Y",14,0.00263806998799678,0.00401952339936836
