Precinct,Type,1990,1993,1998,2001,2012
90,Rape,43,34,29,24,12
90,Robbery,1604,1297,585,507,385
90,Fel. Assault,619,579,314,279,239
90,Burglary,1345,1322,490,484,348
90,Gr. Larceny,588,556,300,372,600
90,G.L.A.,1169,941,465,336,124
90,TOTAL,5392,4751,2185,2014,1713
94,Murder,8,9,7,5,
94,Rape,10,8,16,4,12
94,Robbery,555,597,213,197,134
94,Fel. Assault,297,267,146,108,88
94,Burglary,823,1128,301,223,211
94,Gr. Larceny,429,369,178,173,417
94,G.L.A.,1279,919,421,258,90
94,TOTAL,3401,3297,1282,968,952
