"BoroCT2010","ACS_p_white","ACS_p_black","ACS_p_hispanic","ACS_p_edu_grad_HS","ACS_p_household_white","ACS_p_household_black","ACS_p_household_asian","ACS_p_household_hispanic","ACS_p_US_citizen","ACS_p_home_lang_english","ACS_p_home_lang_spanish","ACS_p_home_lang_other","ACS_p_pop_poverty","ACS_p_unemployed","ACS_p_civilian_labor_force","ACS_p_poverty_under100","ACS_p_poverty_100to149","ACS_p_poverty_200over","ACS_p_income_indv_75000ormore","ACS_p_house_social_security","ACS_p_house_supplemental_security","ACS_p_house_public_assistance","ACS_p_house_SNAP","ACS_avg_per_capita_income","stops"
4037300,27.02306847,18.23507873,73.92896375,33.09941521,22.07621551,33.90275953,9.198423128,59.78975033,64.29879165,19.88773055,67.04089816,13.07137129,99.59721714,2.593116455,53.0574881,16.17647059,9.632352941,64.88970588,7.570093458,21.15637319,4.20499343,6.1760841,31.66885677,20484,137
4037500,42.87231219,1.486594107,81.36448102,28.38736492,42.24235561,2.151755379,17.10079275,76.55719139,43.88107247,1.37717819,80.7757167,17.84710512,100,3.491852345,56.91531723,30.10353066,13.35280064,42.52720998,3.179860881,21.74405436,7.587768969,3.62400906,22.31030578,15684,418
4037600,0,91.43494679,6.865774116,27.86278381,0,93.05402426,0.826901874,5.898566703,89.39237899,85.93638313,6.719085061,7.344531808,99.74253347,5.202913632,53.32990045,1.806917914,6.65978317,86.07812769,9.739058969,38.25799339,3.858875414,1.984564498,9.316427784,27668,178
4037700,49.31464175,15.73208723,74.14330218,30.35714286,37.43718593,27.63819096,9.798994975,64.94974874,54.23676013,15.82657737,74.16284808,10.01057455,99.9376947,10.70095396,51.24610592,32.10723192,22.25685786,38.15461347,1.728395062,12.81407035,8.542713568,13.19095477,38.31658292,13104,166
4037900,41.4507772,5.605275554,92.40069085,42.30568597,39.05079101,10.1582015,4.496253122,87.76019983,37.87093735,8.25927862,90.34675031,1.393971075,99.30915371,4.054613157,55.67593029,27.11462451,19.16205534,34.1027668,1.684937069,7.07743547,5.495420483,5.995004163,39.46711074,13895,260
4038100,47.85992218,19.91510435,78.28086311,34.72140763,40.25797692,33.80855397,4.955872369,63.54378819,55.46515741,21.49881983,71.53815893,6.963021243,98.88574461,4.398894519,56.8623983,22.53621892,17.34931139,44.03505634,1.907790143,21.31704005,5.702647658,0.814663951,27.90224033,15357,268
4038301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
4038302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681
4038400,1.404255319,94.42553192,2.29787234,36.83890578,0.583941606,94.45255475,3.065693431,2.481751825,84.29787234,78.1360424,2.473498233,19.39045936,99.23404255,10.52891745,58.12765957,2.144082333,5.403087479,87.65008576,9.068506654,32.99270073,0.875912409,0,3.795620438,27319,102
4039400,2.099370189,91.81245626,6.89293212,24.2408377,1.800847458,94.06779661,0,2.966101695,86.94891533,92.57333828,5.941329372,1.485332343,100,9.055793991,49.75507348,10.81175647,3.184044787,70.67879636,3.948497854,31.25,2.648305085,2.118644068,7.203389831,22933,169
