"fs[, 1]","V1"
"14000US36047039700",2
"14000US36047039800",1
"14000US36047039900",2
"14000US36047040000",1
"14000US36047040100",2
"14000US36047040200",1
"14000US36047040300",2
"14000US36047040400",1
"14000US36047040500",1
"14000US36047040600",1
"14000US36047040700",1
"14000US36047040800",1
"14000US36047040900",2
"14000US36047041000",1
"14000US36047041100",2
"14000US36047041200",1
"14000US36047041300",2
"14000US36047041401",1
"14000US36047041402",1
"14000US36047041500",2
"14000US36047041600",1
"14000US36047041700",2
"14000US36047041800",1
"14000US36047041900",2
"14000US36047042000",1
"14000US36047042100",2
"14000US36047042200",1
"14000US36047042300",1
"14000US36047042400",1
"14000US36047042500",1
"14000US36047042600",1
"14000US36047042700",2
"14000US36047042800",1
"14000US36047042900",2
"14000US36047043000",1
"14000US36047043100",2
"14000US36047043200",1
"14000US36047043300",2
"14000US36047043400",1
"14000US36047043500",2
"14000US36047043600",1
"14000US36047043700",2
"14000US36047043800",1
"14000US36047043900",2
"14000US36047044000",1
"14000US36047044100",2
"14000US36047044200",1
"14000US36047044300",2
"14000US36047044400",1
"14000US36047044500",2
"14000US36047044600",1
"14000US36047044700",1
"14000US36047044800",1
"14000US36047044900",2
"14000US36047045000",1
"14000US36047045200",1
"14000US36047045300",1
"14000US36047045400",1
"14000US36047045600",1
"14000US36047045800",1
"14000US36047046000",1
"14000US36047046201",1
"14000US36047046202",1
"14000US36047046400",1
"14000US36047046800",1
"14000US36047047000",1
"14000US36047047200",1
"14000US36047047400",1
"14000US36047047600",1
"14000US36047047700",1
"14000US36047047800",1
"14000US36047048000",1
"14000US36047048100",1
"14000US36047048200",2
"14000US36047048400",1
"14000US36047048500",1
"14000US36047048600",1
"14000US36047048800",1
"14000US36047048900",3
"14000US36047049000",1
"14000US36047049100",3
"14000US36047049200",1
"14000US36047049300",3
"14000US36047049400",1
"14000US36047049500",1
"14000US36047049600",1
"14000US36047049700",1
"14000US36047049800",1
"14000US36047049900",1
"14000US36047050000",1
"14000US36047050100",1
"14000US36047050202",1
"14000US36047050300",1
"14000US36047050400",1
"14000US36047050500",2
"14000US36047050600",3
"14000US36047050700",2
"14000US36047050801",2
"14000US36047050803",2
"14000US36047050804",2
"14000US36047050900",1
"14000US36047051001",2
"14000US36047051002",2
"14000US36047051100",2
"14000US36047051200",2
"14000US36047051300",2
"14000US36047051400",2
"14000US36047051500",1
"14000US36047051601",2
"14000US36047051602",2
"14000US36047051700",1
"14000US36047051800",1
"14000US36047051900",1
"14000US36047052000",1
"14000US36047052300",2
"14000US36047052500",2
"14000US36047052600",1
"14000US36047052700",2
"14000US36047052800",1
"14000US36047052900",2
"14000US36047053000",1
"14000US36047053100",2
"14000US36047053200",1
"14000US36047053300",2
"14000US36047053400",1
"14000US36047053500",1
"14000US36047053700",1
"14000US36047053800",2
"14000US36047053900",1
"14000US36047054200",1
"14000US36047054300",1
"14000US36047054400",1
"14000US36047054500",2
"14000US36047054600",1
"14000US36047054700",2
"14000US36047054800",1
"14000US36047054900",1
"14000US36047055000",1
"14000US36047055100",2
"14000US36047055200",2
"14000US36047055300",1
"14000US36047055400",1
"14000US36047055500",1
"14000US36047055600",1
"14000US36047055700",1
"14000US36047055800",1
"14000US36047056000",1
"14000US36047056100",1
"14000US36047056200",1
"14000US36047056300",1
"14000US36047056400",1
"14000US36047056500",1
"14000US36047056600",1
"14000US36047056800",1
"14000US36047056900",1
"14000US36047057000",1
"14000US36047057100",1
"14000US36047057200",2
"14000US36047057300",1
"14000US36047057400",1
"14000US36047057500",1
"14000US36047057600",1
"14000US36047057800",1
"14000US36047057900",1
"14000US36047058000",1
"14000US36047058200",1
"14000US36047058400",1
"14000US36047058600",1
"14000US36047058800",1
"14000US36047058900",1
"14000US36047059000",1
"14000US36047059100",1
"14000US36047059200",1
"14000US36047059300",1
"14000US36047059401",2
"14000US36047059402",1
"14000US36047059600",1
"14000US36047059800",1
"14000US36047060000",1
"14000US36047060600",1
"14000US36047060800",1
"14000US36047061002",1
"14000US36047061003",1
"14000US36047061004",2
"14000US36047061200",1
"14000US36047061600",1
"14000US36047062000",1
"14000US36047062200",1
"14000US36047062600",1
"14000US36047062800",1
"14000US36047063200",1
"14000US36047063600",1
"14000US36047063800",1
"14000US36047064000",1
"14000US36047064200",1
"14000US36047064400",1
"14000US36047064600",1
"14000US36047064800",1
"14000US36047065000",1
"14000US36047065200",1
"14000US36047065400",1
"14000US36047065600",1
"14000US36047065800",1
"14000US36047066000",1
"14000US36047066200",1
"14000US36047066600",1
"14000US36047067000",1
"14000US36047067200",1
"14000US36047067400",1
"14000US36047067600",1
"14000US36047067800",1
"14000US36047068000",1
"14000US36047068200",1
"14000US36047068600",1
"14000US36047068800",1
"14000US36047069000",1
"14000US36047069200",1
"14000US36047069601",1
"14000US36047069602",1
"14000US36047069800",1
"14000US36047070000",1
"14000US36047070201",1
"14000US36047070600",1
"14000US36047072000",1
"14000US36047072200",1
"14000US36047072400",1
"14000US36047072600",1
"14000US36047072800",1
"14000US36047073000",1
"14000US36047073200",1
"14000US36047073400",1
"14000US36047073600",1
"14000US36047073800",1
"14000US36047074000",1
"14000US36047074200",1
